d,f,n,Vc,Mz,Fz,logM,logFz,logd,logf,logVc
8,0.09 ,300,7.54 ,2.0199,1133.604872,0.305329869,3.054461704,0.903089987,-1.045757491,0.877361114
8,0.09 ,350,8.80 ,2.0219,1123.897351,0.305759672,3.050726648,0.903089987,-1.045757491,0.944307904
8,0.09 ,400,10.05 ,2.2205,1122.440387,0.346450778,3.050163285,0.903089987,-1.045757491,1.002299851
8,0.09 ,450,11.31 ,2.3225,1081.726558,0.365955723,3.034117492,0.903089987,-1.045757491,1.053452373
8,0.10 ,300,7.54 ,2.3074,1189.072448,0.363122888,3.075208316,0.903089987,-1,0.877361114
8,0.10 ,350,8.80 ,2.0795,1166.982225,0.317958925,3.067064241,0.903089987,-1,0.944307904
8,0.10 ,400,10.05 ,2.2406,1132.617862,0.350364332,3.054083406,0.903089987,-1,1.002299851
8,0.10 ,450,11.31 ,2.3987,1113.96265,0.379975935,3.04687063,0.903089987,-1,1.053452373
8,0.11 ,300,7.54 ,2.4362,1206.482641,0.386712939,3.081521078,0.903089987,-0.958607315,0.877361114
8,0.11 ,350,8.80 ,2.5074,1192.345069,0.399223622,3.07640196,0.903089987,-0.958607315,0.944307904
8,0.11 ,400,10.05 ,2.5479,1185.628423,0.406182379,3.073948602,0.903089987,-0.958607315,1.002299851
8,0.11 ,450,11.31 ,2.5824,1163.576878,0.412023513,3.065795083,0.903089987,-0.958607315,1.053452373
